X, N
0 0
5 92.0469
10 215.812
15 307.112
20 441.429
25 577.321
30 713.91
35 716.954
40 848.361
45 979.871
50 1111.44
55 1035.09
60 1161.1
65 1287.12
70 1413.16
75 1273.56
80 1394.04
85 1514.52
90 1635.01
95 1446.77
100 1561.71
105 1676.64
110 1791.58
115 1567.09
120 1676.45
125 1785.81
130 1895.18
135 1644.59
140 1748.26
145 1851.92
150 1955.59
155 1687.35
160 1785.25
165 1883.15
170 1981.06
175 1701.9
180 1793.85
185 1885.81
190 1977.76
195 1693.13
200 1778.87
205 1864.6
210 1950.33
215 1664.71
220 1743.9
225 1823.08
230 1902.27
235 1618.73
240 1690.34
245 1761.95
250 1833.56
255 1555.04
260 1617.96
265 1680.88
270 1743.8
275 1475.38
280 1530.67
285 1585.95
290 1641.24
295 1386.42
300 1435
305 1483.57
310 1532.15
315 1293.14
320 1335.82
325 1378.5
330 1421.18
335 1199.15
340 1236.65
345 1274.15
350 1311.66
355 1107.05
360 1140
365 1172.95
370 1205.9
375 1018.6
380 1047.55
385 1076.5
390 1105.46
395 934.962
400 960.4
405 985.838
410 1011.28
415 856.829
420 879.18
425 901.531
430 923.883
435 784.555
440 804.193
445 823.832
450 843.471
455 718.242
460 735.498
465 752.753
470 770.009
475 657.818
480 672.979
485 688.141
490 703.302
495 603.084
500 616.405
505 629.727
510 643.048
515 553.762
520 565.467
525 577.172
530 588.877
535 509.523
540 519.808
545 530.092
550 540.377
555 470.011
560 479.048
565 488.084
570 497.121
575 434.859
580 442.799
585 450.739
590 458.679
595 403.702
600 410.678
605 417.655
610 424.631
615 376.184
620 382.314
625 388.444
630 394.573
635 351.967
640 357.353
645 362.739
650 368.124
655 330.73
660 335.462
665 340.194
670 344.927
675 312.175
680 316.333
685 320.491
690 324.649
695 296.026
700 299.679
705 303.332
710 306.986
715 282.029
720 285.239
725 288.449
730 291.659
735 269.952
740 272.772
745 275.593
750 278.413
755 259.585
760 262.063
765 264.541
770 267.019
775 250.736
780 252.914
785 255.091
790 257.269
795 243.235
800 245.148
805 247.061
810 248.975
815 236.926
820 238.607
825 240.288
830 241.969
835 231.67
840 233.147
845 234.624
850 236.101
855 227.344
860 228.642
865 229.94
870 231.237
875 223.836
880 224.977
885 226.117
890 227.257
895 221.048
900 222.05
905 223.052
910 224.054
915 218.892
920 219.772
925 220.652
930 221.533
935 217.289
940 218.062
945 218.836
950 219.609
955 216.17
960 216.849
965 217.529
970 218.209
975 215.474
980 216.071
985 216.668
990 217.265
995 215.146
1000 215.67
