time RSL_rate
20000 -0.001109848
19000 -0.001109848
18000 -0.000402611
17000 0.001644157
16000 0.001454483
15000 0.000328651
14500 0.006828918
14000 0.016399002
13500 0.021694466
13000 0.003128975
12000 0.003132607
11500 0.0041092
11000 0.004494438
10000 0.012101883
9000 0.007284138
8000 0.008049034
7000 0.007150633
6000 0.002811063
5000 0.001973995
4000 0.001367547
3000 0.001173849
2000 0.000874281
1000 0.000507819
0 0.000307481
