ID X CRN ERROR
DB01 10.70436 4163.677 963.7715659
DB03 50.09636 10346.63 1059.591778
DB04 69.7519 9836.519 984.7025727
DB05 70.21581 14476.35 1014.034077
DB06 88.18611 10996.8 985.6049805
DB07 107.396 8730.776 951.9327165
DB08 121.3949 6377.326 960.1151975
DB09 139.3259 2357.746 936.1616778
DB10 152.3504 5088.377 930.5068822
DB10-2 152.3504 4553.123 961.7478845
DB11 162.7484 4409.178 924.2711573
DB12 176.7484 3441.376 946.9340554
DB12-2 176.7484 3760.111 943.3346999
