X, N
0 0
5 92.0469
10 215.812
15 351.589
20 491.6
25 633.255
30 775.635
35 918.372
40 1061.3
45 613.522
50 733.89
55 854.296
60 974.727
65 1095.18
70 1215.64
75 1336.11
80 1456.58
85 1577.07
90 1697.55
95 1818.04
100 1938.53
105 2059.03
110 2179.52
115 2300.02
120 2420.52
125 1216.53
130 1314.43
135 1412.33
140 1510.24
145 1608.14
150 1706.04
155 1803.94
160 1901.85
165 1999.75
170 2097.65
175 2195.56
180 2293.46
185 2391.37
190 2489.27
195 2587.17
200 2685.08
205 1302.65
210 1374.26
215 1445.87
220 1517.48
225 1589.09
230 1660.71
235 1732.32
240 1803.93
245 1875.54
250 1947.15
255 2018.76
260 2090.37
265 2161.98
270 2233.59
275 2305.21
280 2376.82
285 1136.01
290 1178.69
295 1221.37
300 1264.05
305 1306.73
310 1349.41
315 1392.09
320 1434.77
325 1477.45
330 1520.13
335 1562.82
340 1605.5
345 1648.18
350 1690.86
355 1733.54
360 1776.22
365 855.597
370 881.035
375 906.473
380 931.912
385 957.35
390 982.788
395 1008.23
400 1033.66
405 1059.1
410 1084.54
415 1109.98
420 1135.42
425 1160.86
430 1186.29
435 1211.73
440 1237.17
445 615.326
450 630.488
455 645.649
460 660.811
465 675.972
470 691.134
475 706.295
480 721.457
485 736.618
490 751.779
495 766.941
500 782.102
505 797.264
510 812.425
515 827.587
520 842.748
525 445.097
530 454.134
535 463.17
540 472.206
545 481.243
550 490.279
555 499.316
560 508.352
565 517.388
570 526.425
575 535.461
580 544.497
585 553.534
590 562.57
595 571.606
600 580.643
605 335.653
610 341.039
615 346.425
620 351.811
625 357.196
630 362.582
635 367.968
640 373.354
645 378.739
650 384.125
655 389.511
660 394.897
665 400.282
670 405.668
675 411.054
680 416.44
685 270.087
690 273.297
695 276.507
700 279.717
705 282.927
710 286.137
715 289.347
720 292.557
725 295.767
730 298.977
735 302.187
740 305.397
745 308.607
750 311.817
755 315.027
760 318.237
765 233.62
770 235.534
775 237.447
780 239.36
785 241.273
790 243.186
795 245.099
800 247.013
805 248.926
810 250.839
815 252.752
820 254.665
825 256.578
830 258.491
835 260.405
840 262.318
845 215.526
850 216.666
855 217.806
860 218.946
865 220.087
870 221.227
875 222.367
880 223.507
885 224.648
890 225.788
895 226.928
900 228.069
905 229.209
910 230.349
915 231.489
920 232.63
925 208.633
930 209.313
935 209.993
940 210.672
945 211.352
950 212.031
955 212.711
960 213.391
965 214.07
970 214.75
975 215.43
980 216.109
985 216.789
990 217.468
995 218.148
1000 218.828
