X, N
0 0
5 38.725
10 87.0687
15 133.777
20 177.875
25 216.478
30 251.61
35 281.712
40 308.699
45 331.441
50 351.528
55 404.677
60 475.565
65 560.322
70 658.726
75 768.657
80 873.997
85 973.034
90 1064.36
95 1150.8
100 1229.77
105 1304.94
110 1372.59
115 1437.41
120 1494.97
125 1550.7
130 1599.33
135 1646.81
140 1687.34
145 1727.5
150 1760.97
155 1794.65
160 1821.68
165 1849.45
170 1870.81
175 1893.44
180 1909.78
185 1927.66
190 1939.43
195 1953.16
200 1960.99
205 1970.97
210 1975.11
215 1981.7
220 1982.7
225 1986.33
230 1984.39
235 1985.23
240 1980.75
245 1979.21
250 1972.38
255 1968.54
260 1959.65
265 1953.83
270 1943.01
275 1935.28
280 1922.79
285 1913.35
290 1899.21
295 1888.19
300 1872.58
305 1860
310 1843.01
315 1828.95
320 1810.57
325 1795.05
330 1775.27
335 1758.21
340 1736.88
345 1717.91
350 1694.64
355 1673.74
360 1648.89
365 1626.51
370 1600.53
375 1577.05
380 1550.31
385 1526.08
390 1498.87
395 1474.17
400 1446.78
405 1421.85
410 1394.5
415 1369.55
420 1342.42
425 1317.61
430 1290.86
435 1266.34
440 1240.1
445 1215.99
450 1190.35
455 1166.75
460 1141.8
465 1118.78
470 1094.59
475 1072.21
480 1048.82
485 1027.12
490 1004.58
495 983.604
500 961.923
505 941.693
510 920.891
515 901.42
520 881.502
525 862.799
530 843.765
535 825.83
540 807.674
545 790.502
550 773.212
555 756.795
560 740.355
565 724.681
570 709.073
575 694.126
580 679.328
585 665.091
590 651.081
595 637.533
600 624.286
605 611.408
610 598.897
615 586.665
620 574.865
625 563.257
630 552.14
635 541.133
640 530.672
645 520.241
650 510.408
655 500.531
660 491.3
665 481.952
670 473.296
675 464.455
680 456.346
685 447.989
690 440.404
695 432.508
700 425.42
705 417.963
710 411.348
715 404.31
720 398.144
725 391.503
730 385.765
735 379.501
740 374.167
745 368.262
750 363.311
755 357.746
760 353.158
765 347.914
770 343.671
775 338.731
780 334.813
785 330.162
790 326.55
795 322.172
800 318.85
805 314.73
810 311.682
815 307.805
820 305.015
825 301.368
830 298.821
835 295.391
840 293.074
845 289.848
850 287.747
855 284.714
860 282.817
865 279.965
870 278.26
875 275.579
880 274.053
885 271.534
890 270.178
895 267.81
900 266.613
905 264.387
910 263.34
915 261.249
920 260.342
925 258.377
930 257.601
935 255.755
940 255.103
945 253.368
950 252.832
955 251.201
960 250.774
965 249.241
970 248.916
975 247.475
980 247.245
985 245.891
990 245.75
995 244.478
1000 244.42
