X, N
0 0
5 48.4789
10 127.687
15 225.502
20 338.838
25 462.398
30 582.547
35 695.574
40 801.633
45 901.809
50 994.982
55 1083.5
60 1164.98
65 1242.77
70 1313.75
75 1382.15
80 1443.67
85 1503.42
90 1556.43
95 1608.38
100 1653.83
105 1698.9
110 1737.19
115 1775.7
120 1807.71
125 1840.41
130 1866.77
135 1894.24
140 1915.32
145 1938.07
150 1954.69
155 1973.18
160 1985.6
165 2000.23
170 2008.87
175 2020.12
180 2025.52
185 2033.5
190 2035.82
195 2041.05
200 2040.7
205 2043.37
210 2040.52
215 2040.79
220 2035.8
225 2034.04
230 2026.94
235 2023.19
240 2014.35
245 2008.85
250 1998.33
255 1991.16
260 1979.11
265 1970.48
270 1957.03
275 1946.91
280 1932.21
285 1920.8
290 1904.79
295 1892.13
300 1875.01
305 1861.04
310 1842.8
315 1827.63
320 1808.22
325 1791.8
330 1771.22
335 1753.41
340 1731.45
345 1711.91
350 1688.14
355 1666.79
360 1641.59
365 1618.86
370 1592.62
375 1568.91
380 1541.97
385 1517.59
390 1490.28
395 1465.48
400 1438.05
405 1413.08
410 1385.72
415 1360.77
420 1333.69
425 1308.91
430 1282.24
435 1257.79
440 1231.64
445 1207.63
450 1182.11
455 1158.61
460 1133.8
465 1110.9
470 1086.85
475 1064.6
480 1041.37
485 1019.81
490 997.42
495 976.586
500 955.06
505 934.974
510 914.333
515 894.999
520 875.241
525 856.679
530 837.797
535 820
540 801.997
545 784.955
550 767.813
555 751.526
560 735.225
565 719.676
570 704.204
575 689.374
580 674.707
585 660.584
590 646.695
595 633.256
600 620.127
605 607.348
610 594.949
615 582.814
620 571.116
625 559.599
630 548.58
635 537.656
640 527.287
645 516.937
650 507.188
655 497.386
660 488.234
665 478.955
670 470.373
675 461.597
680 453.556
685 445.259
690 437.737
695 429.895
700 422.866
705 415.461
710 408.899
715 401.908
720 395.793
725 389.193
730 383.501
735 377.277
740 371.983
745 366.114
750 361.202
755 355.668
760 351.116
765 345.902
770 341.688
775 336.776
780 332.886
785 328.258
790 324.672
795 320.316
800 317.016
805 312.915
810 309.887
815 306.026
820 303.255
825 299.623
830 297.092
835 293.674
840 291.372
845 288.156
850 286.068
855 283.044
860 281.157
865 278.313
870 276.617
875 273.942
880 272.424
885 269.91
890 268.559
895 266.195
900 265.003
905 262.78
910 261.736
915 259.647
920 258.742
925 256.778
930 256.004
935 254.157
940 253.506
945 251.77
950 251.233
955 249.601
960 249.173
965 247.638
970 247.311
975 245.868
980 245.635
985 244.278
990 244.134
995 242.856
1000 242.796
