X, N
0 0
5 38.725
10 87.0687
15 133.777
20 177.875
25 242.427
30 325.744
35 423.112
40 535.088
45 658.632
50 777.45
55 889.058
60 992.492
65 1090.13
70 1179.85
75 1265.14
80 1342.64
85 1416.73
90 1483.18
95 1547.32
100 1604.06
105 1659.31
110 1707.09
115 1754.11
120 1793.92
125 1833.74
130 1866.51
135 1899.77
140 1926.13
145 1953.59
150 1974.39
155 1996.72
160 2012.43
165 2030.05
170 2041.3
175 2054.87
180 2062.17
185 2071.95
190 2075.63
195 2082.13
200 2082.74
205 2086.25
210 2083.94
215 2084.76
220 2079.99
225 2078.45
230 2071.36
235 2067.59
240 2058.51
245 2052.84
250 2041.9
255 2034.37
260 2021.8
265 2012.7
270 1998.59
275 1987.92
280 1972.49
285 1960.43
290 1943.66
295 1930.29
300 1912.34
305 1897.66
310 1878.56
315 1862.63
320 1842.38
325 1825.18
330 1803.73
335 1785.17
340 1762.35
345 1742.04
350 1717.43
355 1695.33
360 1669.3
365 1645.84
370 1618.8
375 1594.36
380 1566.66
385 1541.58
390 1513.52
395 1488.06
400 1459.91
405 1434.3
410 1406.26
415 1380.7
420 1352.96
425 1327.61
430 1300.31
435 1275.31
440 1248.58
445 1224.04
450 1197.96
455 1173.97
460 1148.64
465 1125.27
470 1100.73
475 1078.04
480 1054.34
485 1032.37
490 1009.54
495 988.322
500 966.393
505 945.941
510 924.917
515 905.248
520 885.132
525 866.252
530 847.041
535 828.947
540 810.633
545 793.319
550 775.887
555 759.344
560 742.777
565 726.99
570 711.269
575 696.221
580 681.322
585 666.994
590 652.894
595 639.265
600 625.937
605 612.986
610 600.404
615 588.107
620 576.242
625 564.576
630 553.401
635 542.342
640 531.829
645 521.352
650 511.473
655 501.554
660 492.281
665 482.896
670 474.203
675 465.328
680 457.187
685 448.8
690 441.185
695 433.262
700 426.147
705 418.667
710 412.028
715 404.968
720 398.781
725 392.121
730 386.363
735 380.082
740 374.731
745 368.81
750 363.844
755 358.265
760 353.664
765 348.407
770 344.151
775 339.201
780 335.271
785 330.61
790 326.988
795 322.601
800 319.27
805 315.141
810 312.085
815 308.201
820 305.404
825 301.75
830 299.197
835 295.76
840 293.438
845 290.206
850 288.1
855 285.062
860 283.16
865 280.304
870 278.594
875 275.909
880 274.379
885 271.856
890 270.496
895 268.125
900 266.925
905 264.697
910 263.646
915 261.552
920 260.642
925 258.675
930 257.897
935 256.048
940 255.394
945 253.656
950 253.118
955 251.486
960 251.056
965 249.522
970 249.195
975 247.753
980 247.521
985 246.166
990 246.023
995 244.749
1000 244.69
