X, N
0 0
5 106.482
10 243.604
15 385.12
20 523.104
25 654.018
30 777.247
35 893.324
40 1001.18
45 1103.18
50 1197.07
55 1286.34
60 1367.49
65 1445.17
70 1514.97
75 1582.42
80 1642.13
85 1700.28
90 1750.83
95 1800.73
100 1843.26
105 1885.78
110 1920.87
115 1956.51
120 1984.97
125 2014.63
130 2037.26
135 2061.44
140 2078.74
145 2098.08
150 2110.78
155 2125.87
160 2134.34
165 2145.48
170 2150.26
175 2158.04
180 2159.57
185 2164.17
190 2162.69
195 2164.56
200 2160.56
205 2159.94
210 2153.51
215 2150.63
220 2142.18
225 2137.34
230 2126.96
235 2120.24
240 2108.22
245 2099.92
250 2086.34
255 2076.46
260 2061.54
265 2050.33
270 2034.13
275 2021.58
280 2004.27
285 1990.53
290 1972.08
295 1957.21
300 1937.76
305 1921.74
310 1901.31
315 1884.18
320 1862.73
325 1844.46
330 1821.94
335 1802.42
340 1778.64
345 1757.48
350 1732.02
355 1709.15
360 1682.35
365 1658.21
370 1630.49
375 1605.44
380 1577.13
385 1551.5
390 1522.9
395 1496.95
400 1468.31
405 1442.27
410 1413.8
415 1387.84
420 1359.72
425 1334.02
430 1306.37
435 1281.06
440 1254.02
445 1229.2
450 1202.85
455 1178.61
460 1153.02
465 1129.43
470 1104.67
475 1081.78
480 1057.89
485 1035.74
490 1012.74
495 991.355
500 969.268
505 948.674
510 927.508
515 907.713
520 887.471
525 868.477
530 849.153
535 830.958
540 812.542
545 795.138
550 777.616
555 760.991
560 744.344
565 728.484
570 712.691
575 697.578
580 682.615
585 668.229
590 654.071
595 640.39
600 627.011
605 614.013
610 601.384
615 589.046
620 577.14
625 565.437
630 554.225
635 543.132
640 532.586
645 522.079
650 512.171
655 502.225
660 492.926
665 483.517
670 474.8
675 465.904
680 457.742
685 449.335
690 441.701
695 433.761
700 426.63
705 419.134
710 412.48
715 405.406
720 399.205
725 392.533
730 386.763
735 380.471
740 375.109
745 369.178
750 364.202
755 358.613
760 354.003
765 348.739
770 344.475
775 339.517
780 335.58
785 330.913
790 327.285
795 322.892
800 319.555
805 315.421
810 312.36
815 308.47
820 305.669
825 302.01
830 299.453
835 296.013
840 293.686
845 290.451
850 288.342
855 285.3
860 283.395
865 280.536
870 278.823
875 276.136
880 274.604
885 272.078
890 270.716
895 268.343
900 267.14
905 264.91
910 263.857
915 261.762
920 260.85
925 258.881
930 258.101
935 256.251
940 255.595
945 253.856
950 253.317
955 251.683
960 251.253
965 249.717
970 249.389
975 247.946
980 247.713
985 246.356
990 246.213
995 244.937
1000 244.878
