X, N
0 0
5 17.395
10 48.339
15 87.3351
20 134.671
25 187.167
30 246.847
35 311.736
40 383.633
45 461.403
50 546.193
55 637.812
60 736.503
65 842.857
70 946.434
75 1044.15
80 1134.04
85 1219.24
90 1296.76
95 1370.82
100 1437.46
105 1501.57
110 1558.2
115 1613.14
120 1660.85
125 1707.75
130 1747.59
135 1787.17
140 1819.84
145 1852.95
150 1879.39
155 1906.78
160 1927.52
165 1949.66
170 1965.41
175 1983.01
180 1994.34
185 2007.72
190 2015
195 2024.72
200 2028.54
205 2034.93
210 2035.49
215 2038.88
220 2036.68
225 2037.44
230 2032.64
235 2030.93
240 2023.89
245 2020.06
250 2010.95
255 2005.06
260 1994.13
265 1986.49
270 1973.85
275 1964.49
280 1950.36
285 1939.47
290 1923.87
295 1911.54
300 1894.64
305 1880.89
310 1862.73
315 1847.64
320 1828.21
325 1811.76
330 1791.06
335 1773.16
340 1751.01
345 1731.3
350 1707.28
355 1685.71
360 1660.21
365 1637.23
370 1610.66
375 1586.65
380 1559.38
385 1534.67
390 1507
395 1481.87
400 1454.06
405 1428.75
410 1401.02
415 1375.73
420 1348.26
425 1323.15
430 1296.1
435 1271.31
440 1244.8
445 1220.45
450 1194.57
455 1170.75
460 1145.59
465 1122.37
470 1097.99
475 1075.44
480 1051.88
485 1030.03
490 1007.33
495 986.216
500 964.397
505 944.044
510 923.118
515 903.538
520 883.511
525 864.709
530 845.577
535 827.553
540 809.309
545 792.059
550 774.69
555 758.203
560 741.693
565 725.956
570 710.285
575 695.282
580 680.429
585 666.141
590 652.081
595 638.488
600 625.197
605 612.278
610 599.727
615 587.459
620 575.623
625 563.983
630 552.834
635 541.798
640 531.308
645 520.851
650 510.993
655 501.093
660 491.838
665 482.47
670 473.793
675 464.934
680 456.807
685 448.433
690 440.831
695 432.92
700 425.818
705 418.348
710 411.72
715 404.669
720 398.492
725 391.84
730 386.091
735 379.818
740 374.474
745 368.56
750 363.601
755 358.028
760 353.433
765 348.182
770 343.932
775 338.986
780 335.061
785 330.405
790 326.788
795 322.404
800 319.078
805 314.953
810 311.9
815 308.019
820 305.225
825 301.574
830 299.024
835 295.591
840 293.27
845 290.041
850 287.938
855 284.902
860 283.002
865 280.148
870 278.44
875 275.757
880 274.229
885 271.708
890 270.349
895 267.98
900 266.781
905 264.554
910 263.504
915 261.412
920 260.503
925 258.537
930 257.76
935 255.912
940 255.259
945 253.523
950 252.985
955 251.354
960 250.925
965 249.392
970 249.065
975 247.624
980 247.393
985 246.038
990 245.897
995 244.623
1000 244.565
