ID	X	N	N_err
BH05	79.3	363.7360492	773.8260391
BH13	57.8	0	744.1380004
BH14	103.7	524.1145354	766.9983788
BH15	124.3	896.1284202	863.3014864
BH16	144.8	1566.606053	912.0880587
BH17	162.9	11093.27971	943.1357588
BH18	178.6	6520.51985	856.1938226
BH19	195.4	3372.410182	897.0487115
BH20	212.7	9640.915078	899.295258
BH21	227.9	3012.316261	769.6528611
BH22	246.7	3421.866561	885.1628628
BH23	259.4	3108.65577	793.185204
